Date,USA_POP,CHN_POP,JPN_POP,DEU_POP,IND_POP,GBR_POP,BRA_POP,RUS_POP,ZAF_POP
1960-12-31,180671000.0,667070000.0,93216000.0,72814900.0,445954579.0,52400000.0,73092515.0,119897000.0,16520441.0
1961-12-31,183691000.0,660330000.0,94055000.0,73377632.0,456351876.0,52800000.0,75330008.0,121236000.0,16989464.0
1962-12-31,186538000.0,665770000.0,94933000.0,74025784.0,467024193.0,53250000.0,77599218.0,122591000.0,17503133.0
1963-12-31,189242000.0,682335000.0,95900000.0,74714353.0,477933619.0,53650000.0,79915555.0,123960000.0,18042215.0
1964-12-31,191889000.0,698355000.0,96903000.0,75318337.0,489059309.0,54000000.0,82262794.0,125345000.0,18603097.0
1965-12-31,194303000.0,715185000.0,97952000.0,75963695.0,500114346.0,54348050.0,84623747.0,126745000.0,19187194.0
1966-12-31,196560000.0,735400000.0,98851000.0,76600311.0,510992617.0,54648500.0,86979283.0,127468000.0,19789771.0
1967-12-31,198712000.0,754550000.0,99879000.0,76951336.0,521987069.0,54943600.0,89323288.0,128196000.0,20410677.0
1968-12-31,200706000.0,774510000.0,101011000.0,77294314.0,533431909.0,55211700.0,91659246.0,128928000.0,21050540.0
1969-12-31,202677000.0,796025000.0,102219000.0,77909682.0,545314670.0,55441750.0,94000381.0,129664000.0,21704214.0
1970-12-31,205052000.0,818315000.0,103403000.0,78169289.0,557501301.0,55663250.0,96369875.0,130404000.0,22368306.0
1971-12-31,207661000.0,841105000.0,105697000.0,78312842.0,569999178.0,55896223.0,98766288.0,131155000.0,23031441.0
1972-12-31,209896000.0,862030000.0,107188000.0,78688452.0,582837973.0,56086065.0,101194394.0,131909000.0,23698507.0
1973-12-31,211909000.0,881940000.0,108707000.0,78936666.0,596107483.0,56194527.0,103666904.0,132669000.0,24382513.0
1974-12-31,213854000.0,900350000.0,110162000.0,78967433.0,609721951.0,56229974.0,106167372.0,133432000.0,25077016.0
1975-12-31,215973000.0,916395000.0,111573000.0,78673554.0,623524219.0,56225800.0,108700515.0,134200000.0,25777964.0
1976-12-31,218035000.0,930685000.0,112775000.0,78336950.0,637451448.0,56211968.0,111286504.0,135147000.0,26480300.0
1977-12-31,220239000.0,943455000.0,113872000.0,78159814.0,651685628.0,56193492.0,113939886.0,136100000.0,27199838.0
1978-12-31,222585000.0,956165000.0,114913000.0,78091820.0,666267760.0,56196504.0,116664382.0,137060000.0,27943445.0
1979-12-31,225055000.0,969005000.0,115890000.0,78126350.0,681248383.0,56246951.0,119447303.0,138027000.0,28697014.0
1980-12-31,227225000.0,981235000.0,116807000.0,78288576.0,696828385.0,56314216.0,122288383.0,139010000.0,29463549.0
1981-12-31,229466000.0,993885000.0,117661000.0,78407907.0,712869298.0,56333829.0,125168060.0,139941000.0,30232561.0
1982-12-31,231664000.0,1008630000.0,118480000.0,78333366.0,729169466.0,56313641.0,128065095.0,140823000.0,31022417.0
1983-12-31,233792000.0,1023310000.0,119307000.0,78128282.0,745826546.0,56332848.0,130977370.0,141668000.0,31865176.0
1984-12-31,235825000.0,1036825000.0,120083000.0,77858685.0,762895156.0,56422072.0,133888775.0,142745000.0,32768207.0
1985-12-31,237924000.0,1051040000.0,120837000.0,77684873.0,780242084.0,56550268.0,136783180.0,143858000.0,33752964.0
1986-12-31,240133000.0,1066790000.0,121482000.0,77720436.0,797878993.0,56681396.0,139643355.0,144894000.0,34877834.0
1987-12-31,242289000.0,1084035000.0,122069000.0,77839920.0,815716125.0,56802050.0,142466264.0,145908000.0,36119333.0
1988-12-31,244499000.0,1101630000.0,122578000.0,78144619.0,833729681.0,56928327.0,145253973.0,146857000.0,37393853.0
1989-12-31,246819000.0,1118650000.0,123069000.0,78751283.0,852012673.0,57076711.0,148003411.0,147721000.0,38668684.0
1990-12-31,249623000.0,1135185000.0,123478000.0,79433029.0,870452165.0,57247586.0,150706446.0,147969406.0,39877570.0
1991-12-31,252981000.0,1150780000.0,123964000.0,80013896.0,888941756.0,57424897.0,153336445.0,148394216.0,40910959.0
1992-12-31,256514000.0,1164970000.0,124425000.0,80624598.0,907574049.0,57580402.0,155900790.0,148538197.0,41760755.0
1993-12-31,259919000.0,1178440000.0,124829000.0,81156363.0,926351297.0,57718614.0,158440875.0,148458777.0,42525440.0
1994-12-31,263126000.0,1191835000.0,125178000.0,81438348.0,945261958.0,57865745.0,160980472.0,148407912.0,43267982.0
1995-12-31,266278000.0,1204855000.0,125472000.0,81678051.0,964279129.0,58019030.0,163515328.0,148375787.0,43986084.0
1996-12-31,269394000.0,1217550000.0,125757000.0,81914831.0,983281218.0,58166950.0,166037122.0,148160129.0,44661603.0
1997-12-31,272657000.0,1230075000.0,126057000.0,82034771.0,1002335230.0,58316954.0,168546707.0,147915361.0,45285048.0
1998-12-31,275854000.0,1241935000.0,126400000.0,82047195.0,1021434576.0,58487141.0,171039804.0,147670784.0,45852166.0
1999-12-31,279040000.0,1252735000.0,126631000.0,82100243.0,1040500054.0,58682466.0,173486281.0,147214776.0,46364681.0
2000-12-31,282162411.0,1262645000.0,126843000.0,82211508.0,1059633675.0,58892514.0,175873720.0,146596869.0,46813266.0
2001-12-31,284968955.0,1271850000.0,127149000.0,82349925.0,1078970907.0,59119673.0,178211881.0,145976482.0,47229714.0
2002-12-31,287625193.0,1280400000.0,127445000.0,82488495.0,1098313039.0,59370479.0,180476685.0,145306497.0,47661514.0
2003-12-31,290107933.0,1288400000.0,127718000.0,82534176.0,1117415123.0,59647577.0,182629278.0,144648618.0,48104048.0
2004-12-31,292805298.0,1296075000.0,127761000.0,82516260.0,1136264583.0,59987905.0,184722043.0,144067316.0,48556071.0
2005-12-31,295516599.0,1303720000.0,127773000.0,82469422.0,1154638713.0,60401206.0,186797334.0,143518814.0,49017147.0
2006-12-31,298379912.0,1311020000.0,127854000.0,82376451.0,1172373788.0,60846820.0,188820682.0,143049637.0,49491756.0
2007-12-31,301231207.0,1317885000.0,128001000.0,82266372.0,1189691809.0,61322463.0,190779453.0,142805114.0,49996094.0
2008-12-31,304093966.0,1324655000.0,128063000.0,82110097.0,1206734806.0,61806995.0,192672317.0,142742366.0,50565812.0
2009-12-31,306771529.0,1331260000.0,128047000.0,81902307.0,1223640160.0,62276270.0,194517549.0,142785348.0,51170779.0
2010-12-31,309327143.0,1337705000.0,128070000.0,81776930.0,1240613620.0,62766365.0,196353492.0,142849468.0,51784921.0
2011-12-31,311583481.0,1345035000.0,127833000.0,80274983.0,1257621191.0,63258810.0,198185302.0,143018195.0,52443325.0
2012-12-31,313877662.0,1354190000.0,127629000.0,80425823.0,1274487215.0,63700215.0,199977707.0,143378447.0,53145033.0
2013-12-31,316059947.0,1363240000.0,127445000.0,80645605.0,1291132063.0,64128273.0,201721767.0,143805638.0,53873616.0
2014-12-31,318386329.0,1371860000.0,127276000.0,80982500.0,1307246509.0,64602298.0,203459650.0,144237223.0,54729551.0
2015-12-31,320738994.0,1379860000.0,127141000.0,81686611.0,1322866505.0,65116219.0,205188205.0,144640716.0,55876504.0
2016-12-31,323071755.0,1387790000.0,127076000.0,82348669.0,1338636340.0,65611593.0,206859578.0,145015460.0,56422274.0
2017-12-31,325122128.0,1396215000.0,126972000.0,82657002.0,1354195680.0,66058859.0,208504960.0,145293260.0,56641209.0
2018-12-31,326838199.0,1402760000.0,126811000.0,82905782.0,1369003306.0,66460344.0,210166592.0,145398106.0,57339635.0
2019-12-31,328329953.0,1407745000.0,126633000.0,83092962.0,1383112050.0,66836327.0,211782878.0,145453291.0,58087055.0
2020-12-31,331526933.0,1411100000.0,126261000.0,83160871.0,1396387127.0,67081234.0,213196304.0,145245148.0,58801927.0
2021-12-31,332048977.0,1412360000.0,125681593.0,83196078.0,1407563842.0,67026292.0,214326223.0,144746762.0,59392255.0
2022-12-31,333271411.0,1412175000.0,125124989.0,83797985.0,1417173173.0,67791000.0,215313498.0,144236933.0,59893885.0
2023-12-31,334914895.0,1410710000.0,124516650.0,84482267.0,1428627663.0,68350000.0,216422446.0,143826130.0,60414495.0
